,CellType,annotLevel,p,fold_change,sd_from_mean,sdfrommean,area,FDR
Astro1,Astro,2,1,0.579534678,-5.044327089,0,Bakken,1
Endo,Endo,2,0.94314,0.825782231,-1.521613043,0,Bakken,1
L2/3 IT,L2/3 IT,2,0,1.435726877,10.03179957,10.03179957,Bakken,0
L5 ET,L5 ET,2,0.1692,1.061970385,0.945162567,0.945162567,Bakken,0.3384
L5 IT,L5 IT,2,0,1.521374496,11.99513255,11.99513255,Bakken,0
L5/6 NP,L5/6 NP,2,0.04231,1.114835649,1.853615799,1.853615799,Bakken,0.1129
L6 CT,L6 CT,2,0.27917,1.024325158,0.549795882,0.549795882,Bakken,0.46237
L6 IT,L6 IT,2,0,1.26195811,5.930230583,5.930230583,Bakken,0
L6 IT Car3,L6 IT Car3,2,0.04516,1.100061221,1.783028103,1.783028103,Bakken,0.1129
L6b,L6b,2,0.01612,1.129998252,2.366711368,2.366711368,Bakken,0.06448
Lamp5,Lamp5,2,0.30054,1.0245777,0.472743076,0.472743076,Bakken,0.46237
Micro-PVM,Micro-PVM,2,0.99971,0.666418473,-2.980664874,0,Bakken,1
Oligo,Oligo,2,0.99933,0.768655613,-2.738084838,0,Bakken,1
OPC1,OPC,2,1,0.61746773,-4.570064649,0,Bakken,1
Pvalb,Pvalb,2,0.08869,1.064195557,1.372715624,1.372715624,Bakken,0.19709
Sncg,Sncg,2,0.77303,0.958004025,-0.768507913,0,Bakken,1
Sst,Sst,2,5.00E-05,1.232260228,5.02640321,5.02640321,Bakken,0.00025
Sst Chodl,Sst Chodl,2,0.25034,1.056035364,0.647196021,0.647196021,Bakken,0.45516
Vip,Vip,2,0.02639,1.110004733,2.110092295,2.110092295,Bakken,0.08797
VLMC,VLMC,2,0.9409,0.822269023,-1.506007471,0,Bakken,1
Astro,Astro,1,1,0.780254087,-15.32211703,0,WamsleyL1,1
BBB,BBB,1,0.76663,0.986929702,-0.733348092,0,WamsleyL1,1
ExNeu_deep,ExNeu_deep,1,0,1.69706686,61.54356935,61.54356935,WamsleyL1,0
ExNeu_superficial,ExNeu_superficial,1,0.00191,1.035987604,2.926946433,2.926946433,WamsleyL1,0.00764
InNeu,InNeu,1,0.99976,0.957693845,-3.389939183,0,WamsleyL1,1
MG,MG,1,1,0.805498267,-10.75802678,0,WamsleyL1,1
ODC,ODC,1,0.99191,0.961522082,-2.378868512,0,WamsleyL1,1
OPC,OPC,1,1,0.777205426,-16.81396102,0,WamsleyL1,1
ASTRO_1,ASTRO_1,2,1,0.596309983,-8.381530725,0,WamsleyL2,1
ASTRO_2,ASTRO_2,2,0.90418,0.946452242,-1.286246698,0,WamsleyL2,1
ASTRO_3,ASTRO_3,2,1,0.681260979,-5.286311226,0,WamsleyL2,1
BBB_Endo_1,BBB_Endo_1,2,0.8492,0.916379204,-1.030383481,0,WamsleyL2,1
BBB_EndoMural,BBB_EndoMural,2,0.0027,1.227475468,3.179392957,3.179392957,WamsleyL2,0.01944
BBB_EndoMuralMicro,BBB_EndoMuralMicro,2,0.55061,0.977596501,-0.180130448,0,WamsleyL2,1
BBB_Pericytes,BBB_Pericytes,2,0.96714,0.856366319,-1.702995786,0,WamsleyL2,1
EXT_1_L4,EXT_1_L4,2,0.88335,0.950845262,-1.167821267,0,WamsleyL2,1
EXT_10_L34,EXT_10_L34,2,0.85806,0.949587468,-1.047056915,0,WamsleyL2,1
EXT_11_L34,EXT_11_L34,2,0.91208,0.951726236,-1.323588088,0,WamsleyL2,1
EXT_12_L56,EXT_12_L56,2,0.80299,0.933277622,-0.861820987,0,WamsleyL2,1
EXT_13_L45,EXT_13_L45,2,0.9956,0.814343361,-2.243315574,0,WamsleyL2,1
EXT_14_L5B,EXT_14_L5B,2,0.91591,0.856357582,-1.326549966,0,WamsleyL2,1
EXT_2_L56,EXT_2_L56,2,0.90398,0.946276387,-1.276858726,0,WamsleyL2,1
EXT_3_L23,EXT_3_L23,2,0.98015,0.930948891,-2.000868619,0,WamsleyL2,1
EXT_4_L56,EXT_4_L56,2,0,3.604231144,47.89232229,47.89232229,WamsleyL2,0
EXT_5_L56,EXT_5_L56,2,0.99996,0.837261623,-3.301175049,0,WamsleyL2,1
EXT_6_L23,EXT_6_L23,2,0.99854,0.894602483,-2.783617473,0,WamsleyL2,1
EXT_7_L23,EXT_7_L23,2,0.99901,0.848242084,-2.599887936,0,WamsleyL2,1
EXT_8_L6,EXT_8_L6,2,0,1.767989469,27.36621931,27.36621931,WamsleyL2,0
EXT_9_L6,EXT_9_L6,2,0,3.070033626,50.80019794,50.80019794,WamsleyL2,0
INT_1_KIT,INT_1_KIT,2,1,0.818230874,-3.545297333,0,WamsleyL2,1
INT_2_PV_SULF1,INT_2_PV_SULF1,2,0.99998,0.844569527,-3.638338714,0,WamsleyL2,1
INT_3_RELN_NDNF,INT_3_RELN_NDNF,2,0.99995,0.837468144,-3.269024287,0,WamsleyL2,1
INT_4_VIP_CR,INT_4_VIP_CR,2,1,0.763129259,-5.082008287,0,WamsleyL2,1
INT_5_SST,INT_5_SST,2,1,0.81015993,-4.52250194,0,WamsleyL2,1
INT_6_PV,INT_6_PV,2,0.99985,0.781469672,-2.939750116,0,WamsleyL2,1
MG1,MG1,2,1,0.560506012,-7.479444697,0,WamsleyL2,1
MG2,MG2,2,0.99997,0.740187269,-3.234383281,0,WamsleyL2,1
ODC_1,ODC_1,2,0.99994,0.805874909,-3.457004301,0,WamsleyL2,1
ODC_2,ODC_2,2,0.83378,0.953558173,-0.966531674,0,WamsleyL2,1
ODC_3,ODC_3,2,4.00E-05,1.184454768,4.351346451,4.351346451,WamsleyL2,0.00036
OPCS_1,OPCS_1,2,1,0.749726387,-5.393329578,0,WamsleyL2,1
OPCS_2,OPCS_2,2,1,0.62327165,-5.521336885,0,WamsleyL2,1
OPCS_3,OPCS_3,2,0.99997,0.69475807,-3.244849076,0,WamsleyL2,1
OPCS_4,OPCS_4,2,1,0.589182712,-9.686987008,0,WamsleyL2,1
