Frontal_Down,Temporal_Down,Hippocampus_Down,Midbrain_Down,Basal Ganglia_Down,Pons_Down,Occipital_Down,Thalamus_Down
CPE,SEPTIN2,PFDN6,GNL1,ALCAM,HSPA4,DMTN,MRPL54
ACO2,AARS,SNAP25,CLTB,PLCB1,YWHAH,KLC1,COX5A
DPYSL2,ATP2B2,SARS,SCRN1,QDPR,HSPH1,MAP2K1,PDAP1
ENO2,HSPE1,CALM1,HSPA4,VTI1B,MESDC2,SNAP25,EIF4A2
PSMA7,PURA,PPFIA3,HYOU1,PCDH9,PDIA3,KIAA1107,CEP170B
RALA,AK3,RABL6,MYL6B,PPP1R12B,NENF,PABPC1,PPP1R12A
SEPTIN3,RAB2A,MEGF9,SPTAN1,CHMP4A,BCAN,PACS2,AHCYL2
DBN1,SFN,PSMC3,RRBP1,FABP3,ATP2B1,CPLX2,BRSK1
PCMT1,NNT,AAK1,HSPA4L,EHD3,MAPRE1,SEPTIN5,PPP3R1
ACOT7,PSMC6,FKBP3,AKAP12,RPL4,KIAA1107,ARPC5,BSN
SARS,TUBB3,BCAP31,TNIK,UBE2M,ATP1A3,EIF5A,NPTX1
ATP5D,GAPDH,MAPRE3,APP,ABAT,ISCU,MZT2B,ZC2HC1A
PABPC1,DLD,FKBP1A,PFDN6,NEFL,NRCAM,PIN1,MAPRE1
PSMD4,CCT6A,ATP1A1,ENSA,TALDO1,COX4I1,ERC2,ATP5E
COX5B,SAP18,TPT1,MESDC2,CFL2,NDUFS6,PRNP,COX6B1
GMFG,ATP5B,GPR158,ADD2,GNAQ,DYNLRB1,ASAP1,DOS
SCG3,ATP2B3,AGAP3,MANF,CAP1,SPOCK2,OLFM1,RIMS1
ENO1,CST3,L1CAM,UGP2,DAG1,ACTB,CNOT3,MAPRE3
PDHA1,QDPR,CCDC6,LRPAP1,DST,PTPRN,RCN2,PRR36
ACP1,RALY,LMTK3,ATP1A1,TFG,ECHS1,SZRD1,HSPE1
DNM1,KBTBD11,PCDH9,CSTA,IGSF8,BCAP31,PPP3R1,TCEAL3
KIAA1671,KHDRBS2,LMO7,ATP1A3,PIN4,MCAM,ADRM1,ARHGEF6
FKBP4,KCNT1,ACOT7,CHL1,SIRPA,CHL1,EPN1,CBX1
SH3GLB2,OMG,PLXNA1,GNB4,SLC8A1,FABP3,NEBL,SGIP1
NCALD,TF,GDI1,NEFH,EHD2,DNA2,CABP1,HSPE1
SRSF7,HSPA6,UFD1L,MDH1,CD59,SIRPA,NDUFA10,TSC2
TNR,CLIC4,CHL1,DAG1,PPFIA2,TIMM10,GPD1L,PDCD5
HSPD1,GMFB,PCP4,PENK,HPRT1,VDAC1,SCG3,HSDL2
EIF3I,MRPL54,PACSIN1,HSPE1,RAB7A,PFDN1,ANP32A,CASKIN1
ABLIM2,UBE2M,SOGA3,LDHB,ATP2A2,TUBA4A,SH3GLB1,RPL23A
CRKL,GMFG,ATP1A3,GAP43,UBFD1,UBQLN2,C11orf68,NMT1
MAP2K1,GNAI2,SPTBN1,UBFD1,PTGDS,SUMO2,PCDH1,GNB1
PRDX5,PCP4,PPP3CA,AAK1,SIRPA,CAPRIN1,CARS,KLC2
ROCK2,FH,RPS3A,MAP2K1,ENDOD1,HSPA4L,KIAA1143,TTC9
ZRANB2,PRRT3,NPTX2,LDHA,LUZP1,CNTN1,PFDN6,VTI1B
PSMC6,SNX12,PCSK1,SUCLA2,TCEA1,SLC1A2,IQSEC1,KLHL25
SEPTIN5,CADM4,PCDH7,CEND1,CADM1,VSNL1,DNAH17,CKAP5
EEF1A2,PTRF,SYNRG,PTPRZ1,ENO2,CALB1,ABAT,LARP1
PRKAG2,YWHAQ,RPL36A,GADD45GIP1,NCALD,TF,RAPH1,EIF4G3
GLUD1,GNG12,PIN1,SCG3,ATP5E,VBP1,S100A16,SLC8A1
CA4,PTGDS,ELFN2,STX1A,TF,TPM4,UBE2L3,PACSIN1
PGK1,APOA1,ATP1A3,EPS15L1,GOT1,CHGB,AHCYL1,SAFB
UFD1L,IGLON5,KNG1,NCAN,GAPDH,ASRGL1,EEF1A2,DST
STAU2,SIRPA,DIAPH2,SARS,JAM3,NDUFAF4,NUDT4,MAP7D1
PRKAR2B,CFL2,CNTN1,SEPTIN6,PMP2,CALB2,EIF1AD,DNAJC19
PIP4K2A,UBA1,PPP1R2,CHCHD1,PPP1R2,MAPRE3,PPP1R2,FAM171B
PURA,PIP5K1C,STRN3,MAPRE3,DYNLRB1,PDIA4,NSFL1C,DEPTOR
MSI2,NPLOC4,G3BP2,GNB1,HSP90B1,HSPE1,KIAA1468,ATP6V1B2
SBF1,GNB1,NGRN,PPP3CA,CA1,ATP6V1B2,C19orf53,UFD1L
FSCN1,LGALS3BP,SRPK2,HYOU1,PTPN11,LDHB,DDX3X,CARS
DLD,CSTA,APP,HSP90B1,ACIN1,TMSB4X,SRSF11,SLC39A10
CPLX2,,CACNA2D2,HIST1H3A,LDHA,RAP1GAP2,PCSK1N,ARHGAP44
SYN2,,IGLON5,CPLX2,HAPLN2,SCRN1,SFN,PTMS
ADCY5,,CCDC132,RPL36A,DNM2,BSG,EIF1,SIRPA
BRK1,,CLSTN1,MRPL12,CRYM,EPS15L1,ADCY5,SRCIN1
IGLON5,,OPCML,PACSIN1,CAND1,ATP5B,CCDC23,SUMO2
MAP1LC3A,,CAPRIN1,TFAM,NDUFS2,TFG,PTGES3,LSM6
PTGES3,,NRCAM,ADCY5,PVALB,EHD3,PPIG,BASP1
RBM39,,PPP2R2A,RPS9,PLIN3,CHMP4B,HMGN4,AAK1
EIF4A2,,ARFGAP1,LAMP1,HBD,SARS,PCBP1,SRPK2
ENO2,,NPLOC4,PAX9,APOA1,EIF4A2,CYCS,SIRPB1
VDAC2,,UCHL1,RAD23A,HDDC3,YWHAE,PRPF40A,HNRNPL
LANCL2,,DPP6,NCAM1,LGALSL,P4HB,PPP1R1A,DTD1
GNAO1,,RABEP1,PSMA7,ARMC8,YTHDF3,PGAM1,KIAA1217
GNB1,,JAM3,TF,OMG,PTGES3,THY1,CTTN
OXCT1,,MT3,RPS3A,ACTB,HSP90B1,GANAB,RPS25
ACAA2,,NCAN,SIRPG,MT3,ELFN2,ENSA,CLIP1
PABPC1,,PPP2R1A,DEPTOR,ATP5O,YWHAG,UFD1L,HIST1H2BB
IDH3A,,PPP1R2,FTL,GC,MAG,MAGI1,C19orf53
SRP54,,COX6C,TGOLN2,MAG,VGF,VGF,GADL1
YTHDF3,,LSAMP,SLC4A3,CADM4,GPR158,CRIP2,PPP1R2
CADM1,,CDH10,SERPINB3,PGAM1,GAP43,AQP4,MYCBP2
DPP6,,CADM4,AKR1B1,CD44,DSTN,ARL3,ENSA
APOA1,,YWHAG,AP1B1,NUDT5,SYN2,ACBD7,PALM
RAP1GAP2,,NCAM1,JAM3,CD14,SCG3,PLG,VSNL1
MRPS5,,CD200,COL12A1,PPP1R1A,CPE,HMGN2,H2AFX
ABAT,,TBC1D5,ATP2B2,NDUFS3,HSPA12A,NDUFAF4,RPL13
CD59,,CACNA2D1,SPTBN2,HBB,HPCAL4,NDUFA6,SFN
DPP6,,TF,SFN,PPP1R1B,CPLX2,FTL,GMFB
AKR1B1,,TPM4,TH,CLTC,JAM3,NRGN,HIST1H3A
CS,,PTPRZ1,APOA1,MAOB,CADM4,NGRN,ZDHHC5
CFB,,FAM171A2,EEF1A2,COX7A2,IGHM,PTBP2,RPL37
TUBB3,,ATP2A2,GPM6A,,NEFL,CDV3,SLC7A5
PPP1R1B,,ATP2B1,IGHG2,,MYO7A,SNCG,GADD45GIP1
ALDH2,,RPL13,SIRPA,,EEF1A2,SMAP,WDR44
DNM2,,NRXN2,ABRACL,,NNT,CST3,CDC26
CAND1,,PCDH1,,,UBAP2L,CALML5,PCP4
AP2B1,,PAM16,,,PPBP,CFAP70,CPLX2
SRI,,TOMM70A,,,CADM2,CDC26,RPL29
DDAH1,,CPLX2,,,GNAO1,RPL34,TGOLN2
CLTC,,DEPTOR,,,PVALB,PPP1R2,ARG1
TYW3,,MAP2K1,,,HPDL,DR1,CEND1
COX6C,,PLXNA4,,,CARTPT,ANP32A,FTL
NDUFA10,,SHANK2,,,UBA1,GH1,GSTM1
SLC25A5,,MRPS5,,,RAD23A,PCP4,HIST1H1E
SYP,,ATP2B2,,,AKR7A2,SRRT,XRCC6
RAB6A,,IPO11,,,EEA1,THEMIS,CTNNA2
ATP2A2,,APOA1,,,PTPRZ1,SCG3,HIST1H1C
ATP5PO,,GLG1,,,PPP3R1,NUDT21,MINK1
RAB1A,,RPS7,,,HIST1H4A,LCN1,SIRPA
,,CACNB1,,,PCP4,GNB1,
,,TF,,,SERPINC1,ING4,
,,RANBP1,,,LDHA,SPANXN4,
,,MEGF10,,,TOMM70A,,
,,APOA1,,,MRPS5,,
,,PLG,,,TTR,,
,,CPLX2,,,COX6C,,
,,,,,CPLX2,,
,,,,,CAPZB,,
,,,,,SRSF6,,
,,,,,KHDRBS1,,
,,,,,RANBP1,,
,,,,,DLD,,
,,,,,GPM6A,,
,,,,,SLC39A10,,
,,,,,APOA1,,
,,,,,RPS16,,
,,,,,CLTC,,
,,,,,OTUB1,,
,,,,,PLXNA4,,
,,,,,SKA2,,
,,,,,SIRPA,,
,,,,,PLG,,
