,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank
CXCR4,165.7008472,1.657793056,0.481033311,3.446316537,0.000568284,0.024675502,3.25E+00
CD68,85.70056779,1.379483484,0.47608977,2.897528095,0.00376116,0.040999561,2.42E+00
CXCL16,33.65295514,1.366562265,0.510522713,2.676790339,0.007433113,0.046865852,2.13E+00
ITGAX,79.07874069,1.083258163,0.297870182,3.636678759,0.000276176,0.01856128,3.56E+00
APOE,1569.362483,0.977761872,0.470850176,2.076588096,0.037839592,0.098168754,1.42E+00
TREM2,77.64399667,0.963666925,0.317134542,3.038669076,0.002376257,0.038240208,2.62E+00
CSTA,49.3275635,0.920301211,0.247479362,3.718698819,0.000200252,0.018356401,3.70E+00
GRN,255.4613791,0.915061343,0.412902497,2.216168105,0.026679991,0.080922768,1.57E+00
HMOX1,100.1534249,0.8809578,0.298638235,2.949916314,0.0031786,0.040999561,2.50E+00
MMP9,24.43966728,0.869697871,0.272030789,3.197056756,0.001388376,0.036122433,2.86E+00
HLA-DRA,255.5033955,0.854881692,0.530221262,1.612311224,0.106894232,0.186402972,9.71E-01
NGFR,58.32448146,0.833426721,0.206900656,4.028149239,5.62E-05,0.010356772,4.25E+00
ITGAL,13.56536717,0.829865001,0.392928688,2.111999014,0.034686534,0.092910359,1.46E+00
NPC2,483.612629,0.82537767,0.379561022,2.174558559,0.029663213,0.084755177,1.53E+00
TGFB1,99.31590358,0.782088354,0.280951051,2.78371749,0.005373982,0.042047671,2.27E+00
LPO,39.335859,0.77683537,0.213034865,3.646517535,0.000265818,0.01856128,3.58E+00
APOA1,43.24873701,0.761564042,0.217164299,3.50685654,0.000453434,0.022506332,3.34E+00
KLK6,98.03202176,0.734539065,0.191556642,3.83457893,0.00012578,0.014824022,3.90E+00
PLIN3,175.9482809,0.731305834,0.171278499,4.269688481,1.96E-05,0.00807453,4.71E+00
NKX6-2,118.121642,0.715042477,0.196267036,3.643212294,0.000269257,0.01856128,3.57E+00
MMP2,30.69196904,0.706135288,0.219617287,3.215299204,0.001303086,0.036122433,2.89E+00
MMP14,11.99860893,0.703830815,0.409224568,1.719913392,0.085448186,0.161169226,1.07E+00
PLA2G2F,42.69929752,0.686673258,0.230224158,2.982629039,0.002857841,0.040650332,2.54E+00
SPI1,106.9834277,0.684862976,0.313552975,2.184201815,0.028947422,0.08438736,1.54E+00
SLA,68.3812489,0.682890408,0.25907208,2.635908924,0.008391225,0.048751836,2.08E+00
FAM107B,251.5015581,0.680002133,0.174169066,3.90426468,9.45E-05,0.012995442,4.02E+00
GDNF,58.86487612,0.677213448,0.223180039,3.034381796,0.002410292,0.038240208,2.62E+00
TF,533.1995109,0.669810239,0.290106703,2.30884096,0.020952408,0.071571053,1.68E+00
TCIRG1,57.88125691,0.662412857,0.228277592,2.901786592,0.003710412,0.040999561,2.43E+00
MAG,370.8795309,0.662265481,0.239804769,2.761686034,0.005750375,0.042047671,2.24E+00
PRKACG,45.49613684,0.654026852,0.266618971,2.453039444,0.01416548,0.058779009,1.85E+00
PRF1,59.69166372,0.651942107,0.207797625,3.137389592,0.001704595,0.037135876,2.77E+00
IRF8,57.05517238,0.650692592,0.244405601,2.6623473,0.007759777,0.047774746,2.11E+00
PLA2G2A,56.57482301,0.646898184,0.231608255,2.793070496,0.005221031,0.042047671,2.28E+00
IL10RA,56.82904587,0.643863012,0.240306406,2.679341859,0.007376704,0.046865852,2.13E+00
TLR2,91.85369795,0.637536022,0.186570227,3.41713698,0.000632834,0.026104415,3.20E+00
SH3TC2,57.00229835,0.634341465,0.182505033,3.475747789,0.000509431,0.023348927,3.29E+00
CD44,152.4869564,0.627574853,0.400106536,1.568519374,0.116759972,0.196585667,9.33E-01
HPGDS,71.23331351,0.610245716,0.211952399,2.879163994,0.003987309,0.041098613,2.40E+00
ENG,78.70959519,0.608144587,0.309152041,1.967137548,0.049167355,0.115235989,1.31E+00
CDC42EP1,156.9002708,0.595858063,0.166825132,3.571752389,0.000354601,0.020499917,3.45E+00
MYRF,279.4077531,0.595388719,0.214031707,2.781778122,0.005406199,0.042047671,2.27E+00
NINJ2,113.0253295,0.594942376,0.148655528,4.002154406,6.28E-05,0.010356772,4.20E+00
EPO,62.59294154,0.594175625,0.223392348,2.659785032,0.007819054,0.047783107,2.11E+00
MOG,337.2355943,0.593592392,0.213461261,2.780796799,0.005422567,0.042047671,2.27E+00
CRYAB,2790.180116,0.59091051,0.261231059,2.262022409,0.023696019,0.07528724,1.63E+00
TNFRSF12A,32.92959764,0.584856719,0.228109178,2.563933313,0.010349343,0.053091315,1.99E+00
LRRC25,37.45126254,0.580706027,0.25644893,2.264411969,0.023548789,0.07528724,1.63E+00
SMYD1,78.43204526,0.576322059,0.187206762,3.07853228,0.00208023,0.037308471,2.68E+00
MAN2B1,90.99329255,0.571294576,0.222711625,2.565176277,0.01031234,0.053091315,1.99E+00
CDC42EP2,77.15703659,0.569593706,0.129987262,4.381919401,1.18E-05,0.00807453,4.93E+00
P2RX4,40.70818147,0.569325633,0.230161134,2.473595884,0.013376091,0.057177589,1.87E+00
NCF1,118.0881842,0.5684325,0.234908227,2.419806688,0.01552876,0.061889985,1.81E+00
GABRR3,59.72033534,0.568409932,0.212657174,2.672893288,0.007520017,0.047000105,2.12E+00
NTRK1,29.23875506,0.566096403,0.276141659,2.050021739,0.04036231,0.103734908,1.39E+00
NPAS4,47.07789751,0.562236856,0.219801792,2.557926631,0.010529831,0.053295155,1.98E+00
SLC6A3,21.82309721,0.559093171,0.24496297,2.282357903,0.022468219,0.074145121,1.65E+00
AGER,11.65661956,0.558864898,0.213593254,2.61649134,0.008883862,0.050147391,2.05E+00
TNFRSF1B,28.60604899,0.557174165,0.359717851,1.548919975,0.121400959,0.202744516,9.16E-01
UBE2N,12.28732754,0.55543792,0.223242524,2.488047125,0.012844671,0.056068009,1.89E+00
CHRM5,79.37858452,0.554127385,0.187147821,2.960907487,0.003067341,0.040999561,2.51E+00
PLA2G4E,50.99156422,0.553865666,0.209371885,2.645367913,0.008160214,0.048609973,2.09E+00
FASLG,35.27207714,0.549707371,0.185566969,2.962312594,0.003053376,0.040999561,2.52E+00
GPR37,253.6621993,0.548913338,0.172560689,3.180987175,0.001467741,0.036122433,2.83E+00
CASP1,74.64163826,0.547138831,0.192623943,2.840450793,0.004504982,0.041856857,2.35E+00
NGF,43.87566185,0.546981147,0.192627984,2.839572612,0.004517401,0.041856857,2.35E+00
ERBB3,60.69046967,0.540440001,0.170716689,3.165712762,0.001547035,0.036122433,2.81E+00
DCD,47.6316374,0.53414247,0.19470107,2.743397713,0.006080699,0.04277305,2.22E+00
TMEM119,73.35380934,0.533718881,0.248842755,2.14480378,0.031968539,0.088503505,1.50E+00
NAPSA,72.04051941,0.53175388,0.213024188,2.496213615,0.012552698,0.055379552,1.90E+00
SOX10,82.03063267,0.530992514,0.171430637,3.097419005,0.001952137,0.037135876,2.71E+00
CHAT,30.89598021,0.530108802,0.210548273,2.517754219,0.01181057,0.054131781,1.93E+00
PSMB9,129.5993462,0.529194033,0.172681517,3.064566728,0.002179855,0.037921861,2.66E+00
MMP19,39.85642494,0.528800952,0.221458172,2.387814129,0.016948911,0.064092058,1.77E+00
CA2,248.6587677,0.527164576,0.382765478,1.377252145,0.168434305,0.258767787,7.74E-01
CD4,42.50693552,0.526190699,0.287245129,1.83185247,0.066973403,0.140236187,1.17E+00
CASP6,107.4278816,0.525486681,0.181439081,2.89621551,0.003776929,0.040999561,2.42E+00
TNF,58.34012425,0.520573661,0.213495124,2.438339814,0.014754896,0.059983382,1.83E+00
ITGAM,56.90841925,0.520114875,0.20038914,2.59552426,0.009444674,0.050716463,2.02E+00
GPR84,57.22045517,0.519140586,0.207629858,2.50031759,0.012408201,0.055188542,1.91E+00
CTAGE1,74.6577243,0.517795033,0.20215334,2.561397373,0.010425204,0.053091315,1.98E+00
NQO1,129.1750649,0.511249762,0.136075825,3.757094705,0.000171897,0.017726925,3.76E+00
EFNA1,56.28281775,0.510963073,0.184464097,2.769986584,0.00560586,0.042047671,2.25E+00
CP,134.6687269,0.510731751,0.236215805,2.16214047,0.03060735,0.086476247,1.51E+00
MARCO,67.92434277,0.510086964,0.200582332,2.543030374,0.010989568,0.053348046,1.96E+00
CASP8,57.19664389,0.506564957,0.196828648,2.573634291,0.010063658,0.052882281,2.00E+00
NTS,66.80279734,0.506518492,0.221294659,2.288887111,0.022085912,0.073471281,1.66E+00
CD40,61.79588287,0.506280741,0.173770786,2.91349745,0.003574048,0.040999561,2.45E+00
INS,20.44956873,0.504328762,0.228821217,2.204029718,0.027522254,0.082566763,1.56E+00
UGT8,283.9160553,0.502930372,0.21933264,2.293002867,0.02184784,0.073270195,1.66E+00
GORAB,96.76995839,0.500987633,0.14077913,3.558678276,0.000372726,0.020499917,3.43E+00
DSC1,52.72771886,0.497119711,0.167298611,2.971451521,0.002963957,0.040999561,2.53E+00
EGF,49.37556423,0.495169724,0.165472473,2.992459804,0.002767391,0.040054345,2.56E+00
GUSB,115.2017395,0.494115168,0.171390205,2.882983702,0.003939278,0.041098613,2.40E+00
TNFRSF10D,101.3145793,0.491092776,0.178112877,2.757199729,0.005829873,0.042053718,2.23E+00
MAL,178.897268,0.490636643,0.177653147,2.761767245,0.005748945,0.042047671,2.24E+00
CCL5,39.2108581,0.482805203,0.211745016,2.280125459,0.022600249,0.074283686,1.65E+00
IL15RA,44.63972999,0.479756029,0.168068675,2.854523768,0.004310141,0.041856857,2.37E+00
OLIG2,197.3502364,0.47444802,0.18780523,2.526276934,0.011527857,0.053636998,1.94E+00
NTF3,35.90240934,0.47334238,0.222432713,2.128025027,0.033335009,0.090457872,1.48E+00
GABRP,49.46394982,0.473283277,0.220157559,2.149748024,0.031575151,0.087711221,1.50E+00
IL6R,90.98919872,0.47313676,0.158023536,2.994090457,0.002752643,0.040054345,2.56E+00
IL4R,104.6464837,0.472837699,0.168963621,2.798458596,0.005134715,0.042047671,2.29E+00
CXCL10,73.00643831,0.472760066,0.201838186,2.342272666,0.019166707,0.067864948,1.72E+00
JUP,112.4715023,0.471675082,0.148413022,3.178124634,0.00148231,0.036122433,2.83E+00
NOS3,28.76159511,0.471324468,0.211728324,2.226081324,0.026008735,0.079177882,1.58E+00
GABRR1,82.18867085,0.470886763,0.214408747,2.196210602,0.028076873,0.082980724,1.55E+00
CSF2RB,38.04994876,0.467122741,0.20637191,2.26349962,0.023604908,0.07528724,1.63E+00
C6,63.54663601,0.46668232,0.195557885,2.386415255,0.017013528,0.064092058,1.77E+00
MPZ,35.33092597,0.466681893,0.209085211,2.2320177,0.025613793,0.078653261,1.59E+00
TREM1,55.99725977,0.465696291,0.193079835,2.411936446,0.015868047,0.062043313,1.80E+00
CPT1B,54.09769516,0.462876848,0.175270302,2.640931428,0.008267845,0.048609973,2.08E+00
EGR2,25.09561121,0.461810864,0.214822048,2.149736804,0.031576039,0.087711221,1.50E+00
TIE1,48.71552523,0.461190014,0.164999043,2.7951072,0.005188251,0.042047671,2.28E+00
NFKBIB,47.66242043,0.457982701,0.194447304,2.355304968,0.01850751,0.067262975,1.73E+00
GJB1,69.4405886,0.455633699,0.183715105,2.480110159,0.01313418,0.056731405,1.88E+00
HDAC1,113.0093174,0.454992665,0.146539558,3.10491358,0.001903346,0.037135876,2.72E+00
ANG,65.02298769,0.454430802,0.195331353,2.32646114,0.019993963,0.069494777,1.70E+00
PPP1R14A,138.5314086,0.452684483,0.208207222,2.174201639,0.029689995,0.084755177,1.53E+00
PLA2G4D,7.526127027,0.452351753,0.27846258,1.624461547,0.104277341,0.184611172,9.82E-01
SNCAIP,59.70901131,0.449805557,0.159484086,2.820378942,0.004796697,0.041856857,2.32E+00
GPR4,62.1124161,0.448518984,0.197850828,2.266955303,0.023392956,0.07528724,1.63E+00
PLS1,77.58389001,0.448399128,0.176474408,2.540873399,0.011057595,0.053348046,1.96E+00
GAL3ST1,46.0996585,0.447493654,0.159302177,2.809086867,0.004968224,0.042047671,2.30E+00
HTR5A,80.77272242,0.445216066,0.161764344,2.752250924,0.005918715,0.04209431,2.23E+00
HN1L,100.6813347,0.443686663,0.142221701,3.119683286,0.001810456,0.037135876,2.74E+00
CCR2,54.47077179,0.443068726,0.198300908,2.234325251,0.02546168,0.078653261,1.59E+00
SP100,38.3046766,0.441208293,0.25937771,1.701026251,0.088938058,0.166004294,1.05E+00
NPC1,125.9316225,0.439842842,0.145676906,3.019303837,0.002533563,0.039437538,2.60E+00
CXCL11,60.86938134,0.438648522,0.182526853,2.403199943,0.016252299,0.062654889,1.79E+00
TNFRSF1A,118.2090191,0.431058897,0.165893065,2.598414211,0.009365544,0.050716463,2.03E+00
CTSE,62.12033956,0.430535896,0.221844943,1.940706375,0.052293903,0.120509692,1.28E+00
TLR4,119.1329312,0.430433412,0.202348041,2.127193376,0.033404019,0.090457872,1.48E+00
TNFRSF10B,48.52024133,0.430068404,0.191061082,2.250947177,0.024388883,0.076797056,1.61E+00
MSN,238.3162399,0.429188172,0.248980587,1.723781668,0.084747265,0.161169226,1.07E+00
PRKCQ,86.5270989,0.42863394,0.15713314,2.727839209,0.006375067,0.043756699,2.20E+00
PHF19,18.49861204,0.426349039,0.174860352,2.4382259,0.014759547,0.059983382,1.83E+00
SLC11A1,82.6426828,0.425369384,0.2426598,1.752945419,0.079611376,0.155091045,1.10E+00
DBH,44.54942461,0.423329549,0.197551191,2.142885334,0.032122307,0.088631783,1.49E+00
NOS1,31.25491953,0.423282418,0.214092518,1.977100471,0.048030275,0.114523053,1.32E+00
NOS2,43.31582299,0.421881111,0.178358496,2.365354725,0.018012809,0.066073528,1.74E+00
TSPO,42.94606357,0.419215993,0.239225781,1.752386347,0.079707397,0.155091045,1.10E+00
PLEKHO2,127.0314131,0.416368275,0.172363824,2.415636096,0.015707751,0.061925329,1.80E+00
DNAH1,76.59031697,0.413800288,0.186913905,2.213855019,0.026838754,0.081106124,1.57E+00
CD8A,89.94565305,0.411684082,0.151889303,2.71042183,0.006719769,0.044536765,2.17E+00
FAS,95.5187746,0.407470763,0.161220098,2.527419154,0.011490428,0.053636998,1.94E+00
ATP6V0E1,222.9925517,0.406239598,0.169542295,2.396095897,0.016570754,0.062999411,1.78E+00
TNFRSF11B,60.07259295,0.405254443,0.188192341,2.153405615,0.031286815,0.087711221,1.50E+00
MYD88,110.3063115,0.403730551,0.162638555,2.482379107,0.013050834,0.056668097,1.88E+00
ICAM2,86.92917165,0.402975246,0.145887156,2.762239368,0.005740637,0.042047671,2.24E+00
SHH,25.59926361,0.401598277,0.198366064,2.024531154,0.04291553,0.107288825,1.37E+00
PRL,72.53151178,0.398736988,0.20329476,1.96137366,0.04983545,0.116470953,1.30E+00
CSF1,74.60582771,0.398612206,0.170869802,2.33284174,0.019656453,0.068779425,1.71E+00
SP1,84.46432436,0.398504126,0.132845625,2.999753489,0.002701982,0.040054345,2.57E+00
PLA2G2E,28.26113543,0.395071056,0.242726441,1.627639142,0.103601424,0.18460297,9.85E-01
DES,30.52775563,0.394419874,0.238863025,1.651238715,0.098689841,0.178686178,1.01E+00
CNTF,74.68774275,0.388960185,0.166757705,2.332487036,0.019675084,0.068779425,1.71E+00
HLA-G,373.3663498,0.388809622,0.243680836,1.595569136,0.110585023,0.189213527,9.56E-01
P2RX7,97.5258214,0.388357463,0.15262118,2.544584325,0.010940789,0.053348046,1.96E+00
SGPL1,91.51398535,0.386745998,0.142901233,2.706386707,0.006801979,0.044536765,2.17E+00
ATP7A,44.07415752,0.385798613,0.176042275,2.191511172,0.028414822,0.0834243,1.55E+00
CSPG4,73.13819526,0.385076118,0.126308062,3.048705766,0.002298295,0.037921861,2.64E+00
F2,8.593061597,0.382189359,0.30444879,1.255348588,0.209352244,0.306777267,6.79E-01
TP53,58.47321316,0.380848736,0.150708502,2.527055424,0.011502335,0.053636998,1.94E+00
DRD2,31.81943842,0.378139409,0.233883986,1.616781961,0.105925355,0.185932803,9.75E-01
C3,98.1935111,0.377489256,0.441668136,0.854689812,0.392722892,0.503099978,4.06E-01
CCR5,40.34191343,0.373513015,0.194248526,1.922861518,0.054497444,0.123857827,1.26E+00
CALML5,27.91897147,0.373355749,0.222488809,1.678087764,0.093329967,0.171868801,1.03E+00
BCHE,68.48186262,0.370269595,0.159225281,2.325444764,0.02004819,0.069494777,1.70E+00
TGFBR2,121.4219272,0.368480622,0.192975328,1.909470114,0.056201474,0.124632822,1.25E+00
NES,121.7951344,0.367868926,0.118343774,3.108477207,0.001880542,0.037135876,2.73E+00
CR1,44.11963318,0.366062468,0.205730285,1.779331939,0.075185358,0.15128761,1.12E+00
CXCL12,18.78830066,0.364917911,0.263331662,1.385773017,0.165816224,0.255220867,7.80E-01
FA2H,139.8571518,0.364599682,0.148657251,2.452619568,0.014182024,0.058779009,1.85E+00
ADORA2A,37.7759145,0.362353096,0.198136143,1.828808667,0.067428276,0.140674366,1.17E+00
IGF1,34.46452786,0.36216112,0.173093716,2.092283464,0.036413166,0.095558433,1.44E+00
ASB7,92.68846079,0.361507657,0.132632095,2.725642372,0.006417649,0.043756699,2.19E+00
CLN8,69.88143278,0.357534836,0.148991124,2.399705609,0.016408262,0.062961936,1.78E+00
PMP22,223.5275599,0.35695863,0.1917501,1.861582498,0.062661962,0.135685351,1.20E+00
LIF,32.18011675,0.355418563,0.185338089,1.917676854,0.055151998,0.124367741,1.26E+00
CTNS,25.01797301,0.354284423,0.191349395,1.851505318,0.06409689,0.136578063,1.19E+00
MTHFR,82.72643561,0.351055089,0.157613271,2.227319355,0.025925938,0.079177882,1.59E+00
ANGPT2,103.3338784,0.350956462,0.195448856,1.795643467,0.072551238,0.147063321,1.14E+00
POLR2J,61.31687565,0.349234726,0.182528376,1.913317445,0.055707426,0.124367741,1.25E+00
CSF1R,49.91100493,0.348234628,0.210043789,1.657914426,0.09733474,0.178051354,1.01E+00
TNFRSF10A,18.90716836,0.347443224,0.210460432,1.650871952,0.098764724,0.178686178,1.01E+00
CXXC1,62.31962031,0.345977346,0.139703834,2.476505738,0.013267549,0.057009001,1.88E+00
SLC6A4,35.07994704,0.343678039,0.217476207,1.580301789,0.11403777,0.193185135,9.43E-01
CASP7,89.3872543,0.343449735,0.158308916,2.169490787,0.030045443,0.085474105,1.52E+00
ITPR3,60.96569496,0.342334898,0.178563345,1.917162208,0.055217328,0.124367741,1.26E+00
TNC,26.31942196,0.340999982,0.209223457,1.629836286,0.103136102,0.184571116,9.87E-01
CDK2,23.90884666,0.340807637,0.187111819,1.821411596,0.068544314,0.141687819,1.16E+00
SLC18A2,54.27217777,0.339743805,0.188485946,1.802488796,0.071468536,0.145478634,1.15E+00
EMCN,53.68265599,0.338569029,0.144354423,2.345401142,0.019006618,0.067824587,1.72E+00
NOSTRIN,81.27872925,0.337313178,0.169844821,1.986008021,0.047032433,0.113455431,1.33E+00
IL1R1,51.79470477,0.332804314,0.140677193,2.365730408,0.017994542,0.066073528,1.74E+00
SLC2A1,93.7887028,0.33181255,0.144472997,2.296709813,0.021635329,0.07315224,1.66E+00
OSMR,113.8701436,0.33181189,0.178639723,1.857436211,0.063249119,0.136100638,1.20E+00
S100A9,400.0498964,0.331698701,0.428272687,0.774503515,0.43863309,0.546819457,3.58E-01
IL6,38.83555239,0.331290782,0.235111679,1.409078374,0.158811995,0.2467418,7.99E-01
NFE2L2,192.2946082,0.331175936,0.139835049,2.368332819,0.017868454,0.066073528,1.75E+00
GSN,410.4885993,0.327895798,0.203487602,1.611379739,0.107096981,0.186402972,9.70E-01
IL1B,57.9182777,0.326757938,0.201547755,1.621243251,0.10496548,0.185431523,9.79E-01
PLLP,204.2912691,0.325541776,0.212538169,1.531686177,0.125599895,0.206826175,9.01E-01
SOX9,260.881298,0.322491235,0.162674894,1.982427813,0.047431379,0.113752581,1.32E+00
IDH1,120.770647,0.321535439,0.161885944,1.986185037,0.047012782,0.113455431,1.33E+00
DSP,66.01377094,0.319106851,0.19758022,1.615074884,0.106294479,0.186184597,9.73E-01
SF3B4,107.3898388,0.31779334,0.129663272,2.450912549,0.014249457,0.058779009,1.85E+00
MYC,76.83725181,0.317577201,0.128698819,2.467599959,0.013602224,0.05754787,1.87E+00
